Coefficients of X_phi on Y_psi for C5

        |(10) 82(11) 82 64(11) 64 811 55 622(11) 622 6211(11)  6211 442(11) 442 4411(11)  4411 433 4222(11)  4222 61111 3322(11)  3322 42211(11)  42211  33211 421111(11)     421111     331111      22222 222211(11)      222211         4111111         2221111      22111111(11)             22111111                  211111111                             1111111111
X11.21  |   0      0  0      0  0   0  0       0   0        0     0       0   0        0     0   0        0     0     0        0     1         0      0      1          0          0      x^2+1      x^2+1        x^2      2x^2+1               0      x^4+2x^2+1       x^7+x^5+x^3      x^6+2x^4+2x^2+1       x^8+2x^6+2x^4+2x^2+1 x^14+2x^12+3x^10+4x^8+4x^6+3x^4+2x^2+1
X221.   |   0      0  0      0  0   0  0       0   0        0     0       0   0        0     0   0        0     0     0        0     0         1      0      0          0          0          0          x          0           x           x^3+x           x^3+x                 0                x^3+x          x^9+x^7+x^5+x^3+x                      x^9+x^7+x^5+x^3+x
X211.1  |   0      0  0      0  0   0  0       0   0        0     0       0   0        0     0   0        0     0     0        0     0         0      1      1          0          1          1      x^2+1          0       x^2+1       x^4+x^2+1     2x^4+2x^2+1                 0      x^6+2x^4+2x^2+1 x^10+2x^8+3x^6+3x^4+2x^2+1       x^12+2x^10+3x^8+3x^6+3x^4+2x^2+1
X111.2  |   0      0  0      0  0   0  0       0   0        0     0       0   0        0     0   0        0     0     0        0     0         0      0      1          0          0          1          1          0           1               0       x^4+x^2+1               x^5            x^4+x^2+1         x^8+x^6+2x^4+x^2+1         x^12+x^10+2x^8+2x^6+2x^4+x^2+1
X.311   |   0      0  0      0  0   0  0       0   0        0     0       0   0        0     0   0        0     0     0        0     0         0      0      0          1          0          1          0          1           0               0               0         x^5+x^3+x                    0                          0                  x^10+x^8+2x^6+x^4+x^2
X2.111  |   0      0  0      0  0   0  0       0   0        0     0       0   0        0     0   0        0     0     0        0     0         0      0      0          0          1          1          0          0           1               1               1                 0        x^6+x^4+x^2+1              x^6+x^4+x^2+1         x^12+x^10+2x^8+2x^6+2x^4+x^2+1
X1.211  |   0      0  0      0  0   0  0       0   0        0     0       0   0        0     0   0        0     0     0        0     0         0      0      0          0          0          1          0          1           1               0               1         x^5+x^3+x            x^4+x^2+1                  x^4+x^2+1       x^12+2x^10+3x^8+3x^6+3x^4+2x^2+1
X111.11 |   0      0  0      0  0   0  0       0   0        0     0       0   0        0     0   0        0     0     0        0     0         0      0      0          0          0          0          1          0           1               0           x^2+1                 0            x^4+x^2+1         x^8+x^6+2x^4+x^2+1         x^12+x^10+2x^8+2x^6+2x^4+x^2+1
X.221   |   0      0  0      0  0   0  0       0   0        0     0       0   0        0     0   0        0     0     0        0     0         0      0      0          0          0          0          0          1           0               0               0             x^3+x                    0                          0                   x^10+x^8+x^6+x^4+x^2
X11.111 |   0      0  0      0  0   0  0       0   0        0     0       0   0        0     0   0        0     0     0        0     0         0      0      0          0          0          0          0          0           1               0               1                 0            x^4+x^2+1              x^6+x^4+x^2+1         x^12+x^10+2x^8+2x^6+2x^4+x^2+1
X2111.  |   0      0  0      0  0   0  0       0   0        0     0       0   0        0     0   0        0     0     0        0     0         0      0      0          0          0          0          0          0           0               1               1                 0                    1              x^6+x^4+x^2+1                          x^6+x^4+x^2+1
X1111.1 |   0      0  0      0  0   0  0       0   0        0     0       0   0        0     0   0        0     0     0        0     0         0      0      0          0          0          0          0          0           0               0               1                 0                    1              x^6+x^4+x^2+1                      x^8+x^6+x^4+x^2+1
X.2111  |   0      0  0      0  0   0  0       0   0        0     0       0   0        0     0   0        0     0     0        0     0         0      0      0          0          0          0          0          0           0               0               0                 1                    0                          0                          x^7+x^5+x^3+x
X1.1111 |   0      0  0      0  0   0  0       0   0        0     0       0   0        0     0   0        0     0     0        0     0         0      0      0          0          0          0          0          0           0               0               0                 0                    1                          1                      x^8+x^6+x^4+x^2+1
X11111. |   0      0  0      0  0   0  0       0   0        0     0       0   0        0     0   0        0     0     0        0     0         0      0      0          0          0          0          0          0           0               0               0                 0                    0                          1                                      1
X.11111 |   0      0  0      0  0   0  0       0   0        0     0       0   0        0     0   0        0     0     0        0     0         0      0      0          0          0          0          0          0           0               0               0                 0                    0                          0                                      1

