Coefficients of X_phi on Y_psi for C6

         |(12) (10,2)(11) (10,2) 84(11) 84 (10,1,1) 66(11) 66 822(11) 822 8211(11)  8211 642(11,11) 642(2,11) 642 6411(11)  6411 552 633 6222(11)  6222  5511 81111 444 4422(11,11) 4422(11,2) 4422(2,11)  4422 62211(11)  62211 4332(11)  4332 44211(11)  44211 621111(11)     621111  43311 441111(11)     441111       3333 42222(11)      42222 422211(11)      422211       33222 332211(11)      332211         6111111 4221111(11)         4221111         3321111  222222(11)           222222      42111111(11)             42111111              2222211              33111111      22221111(11)              22221111                  411111111                   222111111                 2211111111(11)                             2211111111                                  21111111111                                                       111111111111
X.42     |   0          0      0      0  0        0      0  0       0   0        0     0          0         0   0        0     0   0   0        1     0     0     0   0           1          0          0     0         0      0        1     0         0      0          x          0      0          x          0          1         0          0      x^3+x           0           0      x^3+x           0               0           0               0               0   x^5+x^3+x                0       x^6+x^4+x^2                    0                    0           x^6+x^4+x^2      2x^6+x^4+x^2                     0                          0                           0          x^11+x^9+2x^7+x^5+x^3                                      0                                            0                                  x^16+x^14+2x^12+x^10+2x^8+x^6+x^4
X31.11   |   0          0      0      0  0        0      0  0       0   0        0     0          0         0   0        0     0   0   0        0     1     0     0   0           0          0          0     1         0      1        0     1         0      1          0      x^2+1      1          0      x^2+1          1         0      x^2+1          0  x^4+2x^2+1       x^2+1          0  x^4+2x^2+1       x^4+x^2+1           0     2x^4+2x^2+1     2x^4+2x^2+1           0  x^6+2x^4+2x^2+1                 0 x^8+2x^6+3x^4+2x^2+1      x^6+3x^4+2x^2+1  x^8+2x^6+3x^4+2x^2+1                 0 2x^8+3x^6+4x^4+2x^2+1 x^10+2x^8+3x^6+3x^4+2x^2+1  x^10+3x^8+4x^6+4x^4+2x^2+1                              0 x^14+2x^12+4x^10+5x^8+5x^6+4x^4+2x^2+1 x^16+2x^14+4x^12+5x^10+6x^8+5x^6+4x^4+2x^2+1           x^20+2x^18+4x^16+5x^14+7x^12+7x^10+7x^8+5x^6+4x^4+2x^2+1
X2.31    |   0          0      0      0  0        0      0  0       0   0        0     0          0         0   0        0     0   0   0        0     0     1     0   0           1          0          0     1         0      0        1     1         0      1          0          0      1      x^3+x      x^2+1      x^2+2         0          1      x^3+x       x^2+1       x^2+1     2x^3+x  x^4+2x^2+1               0           0           x^2+1      x^4+2x^2+1  x^5+2x^3+x      2x^4+2x^2+1       x^6+x^4+x^2            x^4+x^2+1          2x^4+2x^2+1  x^8+3x^6+4x^4+3x^2+1 x^8+3x^6+2x^4+x^2  x^8+2x^6+3x^4+2x^2+1                  x^4+x^2+1        x^8+2x^6+3x^4+2x^2+1  x^13+2x^11+3x^9+3x^7+2x^5+x^3       x^12+2x^10+3x^8+3x^6+3x^4+2x^2+1             x^12+2x^10+3x^8+3x^6+3x^4+2x^2+1           x^20+2x^18+4x^16+5x^14+7x^12+7x^10+7x^8+5x^6+4x^4+2x^2+1
X411.    |   0          0      0      0  0        0      0  0       0   0        0     0          0         0   0        0     0   0   0        0     0     0     1   0           0          0          0     0         0      1        0     0         0      1          0          1      1          0          1          0         0          1          0           1           1          0           1       x^4+x^2+1           0       x^4+x^2+1       x^4+x^2+1           0                1                 0            x^4+x^2+1            x^4+x^2+1             x^4+x^2+1                 0             x^4+x^2+1         x^8+x^6+2x^4+x^2+1          x^8+x^6+2x^4+x^2+1                              0                     x^8+x^6+2x^4+x^2+1               x^12+x^10+2x^8+2x^6+2x^4+x^2+1                                     x^12+x^10+2x^8+2x^6+2x^4+x^2+1
X22.2    |   0          0      0      0  0        0      0  0       0   0        0     0          0         0   0        0     0   0   0        0     0     0     0   1           0          0          0     1         0      0        0     1         0      1          0          0  x^2+1          0          1          1       x^2      x^2+1          0       x^2+1       x^2+1          0   x^4+x^2+1               0         x^3       x^4+x^2+1      2x^4+x^2+1         x^5   x^6+2x^4+x^2+1                 0            x^4+x^2+1       x^6+3x^4+x^2+1        x^6+2x^4+x^2+1               x^6   x^8+2x^6+3x^4+x^2+1         x^8+x^6+2x^4+x^2+1   x^10+2x^8+3x^6+3x^4+x^2+1                       x^11+x^7        x^12+2x^10+3x^8+3x^6+3x^4+x^2+1   x^16+x^14+3x^12+3x^10+4x^8+3x^6+3x^4+x^2+1             x^20+x^18+3x^16+3x^14+5x^12+4x^10+5x^8+3x^6+3x^4+x^2+1
X1.32    |   0          0      0      0  0        0      0  0       0   0        0     0          0         0   0        0     0   0   0        0     0     0     0   0           1          0          0     0         0      0        1     0         0      0          0          0      0          x          0      x^2+1         0          0      x^3+x           0         x^2     2x^3+x         x^2               0           0               0             x^2  x^5+2x^3+x          x^4+x^2       x^6+x^4+x^2                    0              x^4+x^2        2x^6+2x^4+2x^2 x^8+3x^6+2x^4+x^2           x^6+x^4+x^2                          0                 x^6+x^4+x^2  x^13+2x^11+3x^9+3x^7+2x^5+x^3                   x^10+x^8+x^6+x^4+x^2                         x^10+x^8+x^6+x^4+x^2              x^20+2x^18+3x^16+4x^14+5x^12+5x^10+4x^8+3x^6+2x^4+x^2
X2.22    |   0          0      0      0  0        0      0  0       0   0        0     0          0         0   0        0     0   0   0        0     0     0     0   0           0          1          0     0         0      0        0     0         0      0          0          0      0          0          x          x         0          x          0           x           x    x^4+x^2           x               0           0               x               x x^6+x^4+x^2        x^5+x^3+x                 0                x^5+x            x^5+x^3+x        x^7+2x^5+x^3+x      2x^7+x^5+x^3        x^7+2x^5+x^3+x                      x^5+x              x^7+2x^5+x^3+x         x^12+x^10+2x^8+x^6+x^4         x^13+x^11+2x^9+2x^7+2x^5+x^3+x               x^13+x^11+2x^9+2x^7+2x^5+x^3+x             x^21+x^19+3x^17+3x^15+5x^13+4x^11+5x^9+3x^7+3x^5+x^3+x
X11.31   |   0          0      0      0  0        0      0  0       0   0        0     0          0         0   0        0     0   0   0        0     0     0     0   0           0          0          1     0         0      0        0     0         1      0          0          0      0      x^2+1          0          x         0          0        x^2           0       x^3+x        x^2      2x^3+x               0           0               0      x^5+2x^3+x     x^4+x^2       x^5+2x^3+x       x^7+x^5+x^3                    0          2x^5+2x^3+x      2x^7+3x^5+3x^3+x     2x^7+2x^5+x^3       x^7+3x^5+2x^3+x                          0        x^9+2x^7+3x^5+2x^3+x x^14+2x^12+3x^10+3x^8+2x^6+x^4             x^11+2x^9+3x^7+3x^5+2x^3+x             x^13+2x^11+3x^9+3x^7+3x^5+2x^3+x           x^21+2x^19+4x^17+5x^15+7x^13+7x^11+7x^9+5x^7+4x^5+2x^3+x
X21.21   |   0          0      0      0  0        0      0  0       0   0        0     0          0         0   0        0     0   0   0        0     0     0     0   0           0          0          0     1         0      0        0     1         0      1          0          0      1          0      x^2+1      x^2+1         0      x^2+1          0      2x^2+1      2x^2+1        x^3  x^4+3x^2+1               0           0      x^4+2x^2+1     2x^4+3x^2+1     x^5+x^3  x^6+3x^4+3x^2+1                 0      x^6+2x^4+2x^2+1     2x^6+4x^4+3x^2+1  x^8+3x^6+4x^4+3x^2+1      x^8+2x^6+x^4 2x^8+5x^6+5x^4+3x^2+1       x^8+2x^6+2x^4+2x^2+1  x^10+4x^8+6x^6+5x^4+3x^2+1       x^13+2x^11+2x^9+2x^7+x^5 x^14+3x^12+5x^10+7x^8+7x^6+5x^4+3x^2+1 x^16+3x^14+5x^12+7x^10+8x^8+7x^6+5x^4+3x^2+1 x^22+3x^20+5x^18+8x^16+11x^14+12x^12+12x^10+11x^8+8x^6+5x^4+3x^2+1
X321.    |   0          0      0      0  0        0      0  0       0   0        0     0          0         0   0        0     0   0   0        0     0     0     0   0           0          0          0     0         1      0        0     0         0      0          0          0      x          0          0          0         x          x          0           x           x          0           x           x^3+x     x^4+x^2           x^3+x           x^3+x           0            x^3+x                 0                x^3+x           x^5+2x^3+x                 x^3+x                 0            x^5+2x^3+x       x^9+2x^7+2x^5+2x^3+x        x^9+2x^7+2x^5+2x^3+x                              0                   x^9+2x^7+2x^5+2x^3+x       x^15+2x^13+2x^11+3x^9+3x^7+2x^5+2x^3+x                             x^15+2x^13+2x^11+3x^9+3x^7+2x^5+2x^3+x
